,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
1,3490,EUR,3490,Center console boat,Terhi power boats,new boat from stock,2020,4,1.5,Thermoplastic,Germany,75
3,3399,EUR,3399,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,58
7,3500,CHF,3500,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,Switzerland,239
8,3500,EUR,4000,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2,GRP,Italy,69
9,4600,CHF,3999,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,Switzerland,113
10,4500,CHF,3930,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,Switzerland,413
12,4000,EUR,3900,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8,2.84,PVC,France,265
14,3999,EUR,3500,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,69
15,3930,EUR,5500,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,Germany,90
16,3900,EUR,5500,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,Germany,98
18,4200,CHF,5500,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,Switzerland,160
19,4030,CHF,5399,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,Switzerland,130
21,3975,CHF,5200,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,Switzerland,512
22,3950,CHF,6590,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,Switzerland,202
24,3800,CHF,6500,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,Switzerland,255
25,3800,CHF,6500,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,Switzerland,1804
26,3800,CHF,6500,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,Switzerland,849
27,3500,EUR,6500,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,Germany,133
32,5500,EUR,6500,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,Germany,186
33,5500,EUR,6490,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,Spain,118
34,5500,EUR,7640,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,Italy,74
35,5900,CHF,7500,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,Switzerland,543
37,5399,EUR,7500,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,Germany,67
41,5200,EUR,7500,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,Germany,141
42,5500,CHF,7500,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,Switzerland,278
43,5500,CHF,7500,Runabout,Kimple power boats,new boat from stock,2020,4,1.65,Aluminium,Switzerland,99
44,7200,CHF,7500,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,Switzerland,1201
46,6590,EUR,8500,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,Germany,277
47,6500,EUR,8500,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,Italy,85
48,6500,EUR,8500,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,Germany,122
49,6500,EUR,8500,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5,2.15,GRP,Italy,183
50,6500,EUR,9750,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8,2.1,GRP,Germany,289
51,6500,EUR,9599,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,Austria,324
53,6490,EUR,9575,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,Germany,126
54,7000,CHF,9553,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,Switzerland,238
55,7000,CHF,9500,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,Switzerland,866
56,7000,CHF,9500,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,Switzerland,574
58,8300,CHF,9500,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland,205
60,7640,EUR,10115,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany,200
61,8155,CHF,10000,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland,462
62,7500,EUR,10000,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany,201
65,7500,EUR,10000,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,137
66,7500,EUR,10000,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France,208
67,7500,EUR,10000,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France,189
68,7500,EUR,10000,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France,131
69,7500,EUR,10000,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany,490
72,9400,CHF,11000,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland,280
75,9265,CHF,11000,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland,873
76,9200,CHF,11000,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland,258
80,8500,EUR,11000,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy,165
81,8500,EUR,11000,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France,78
82,8500,EUR,11000,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France,116
83,8500,EUR,11000,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany,250
87,9750,EUR,11000,Trawler,Gouwerok power boats,Used boat,1980,8.5,3,Steel,Netherlands,183
88,10500,CHF,11000,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland,465
91,10400,CHF,11000,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6,2.3,GRP,Switzerland,418
92,9599,EUR,10999,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,Germany,185
93,9575,EUR,10999,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,Germany,64
94,9553,EUR,10999,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2,GRP,Netherlands,91
95,9500,EUR,10990,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherlands,138
96,9500,EUR,10990,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,Italy,184
97,9500,EUR,12000,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany,162
100,11000,CHF,12000,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland,256
101,11000,CHF,12000,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7,1.9,Wood,Switzerland,230
102,11000,CHF,12000,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6,1.6,GRP,Switzerland,182
103,10115,EUR,12000,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,Germany,115
104,10900,CHF,11990,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,Switzerland,159
106,10000,EUR,12770,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy,585
107,10000,EUR,12500,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,185
110,10000,EUR,12500,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12,3,Steel,Italy,182
111,10000,EUR,12500,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany,900
112,10000,EUR,12500,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy,783
113,10000,EUR,13690,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France,175
114,10000,EUR,13500,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France,207
115,11000,EUR,13500,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy,284
116,11000,EUR,13500,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany,125
117,11000,EUR,13500,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy,229
118,11000,EUR,13500,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France,226
119,11000,EUR,13500,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France,87
121,11000,EUR,13500,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,175
122,11000,EUR,13500,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy,173
123,11000,EUR,14500,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6,2.4,GRP,Spain,422
124,11000,EUR,14366,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany,243
125,11000,EUR,14200,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherlands,254
126,10999,EUR,14000,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,Germany,150
127,10999,EUR,14000,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,255
128,10999,EUR,14000,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,Germany,179
129,10990,EUR,14900,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,Germany,169
130,10990,EUR,14900,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany,136
131,12000,EUR,14900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France,141
132,12000,EUR,14900,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,Serbia,442
134,12000,EUR,14900,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany,327
135,12000,EUR,14900,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,Italy,188
136,12000,EUR,14900,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,Germany,1101
139,11990,EUR,14900,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5,4.96,PVC,France,141
140,12950,CHF,14900,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,Switzerland,284
143,12900,CHF,15500,Runabout,Safter Marine power boats,new boat from stock,2020,5,1.9,GRP,Switzerland,273
144,12900,CHF,15500,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,Switzerland,365
148,12770,EUR,15500,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,Germany,180
151,12500,EUR,15500,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5,2,GRP,Italy,147
153,12500,EUR,15500,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,Germany,235
154,12500,EUR,15499,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,Italy,452
155,12500,EUR,15490,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,Netherlands,165
158,14800,CHF,15446,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,Switzerland,436
159,13690,EUR,15400,Deck Boat,Jeanneau power boats,new boat from stock,2014,5,2,PVC,Slovak,35
160,14700,CHF,16220,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,Switzerland,212
163,13500,EUR,16190,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,Italy,121
165,13500,EUR,16000,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,France,110
166,13500,EUR,16900,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,Netherlands,83
167,13500,EUR,16900,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7,2,PVC,Spain,264
168,13500,EUR,16900,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,Italy,109
169,13500,EUR,16900,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,Croatia,132
170,13500,EUR,16900,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2,PVC,France,81
171,13500,EUR,16900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,France,262
173,14500,EUR,16900,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3,2,PVC,Portugal,186
174,15600,CHF,16900,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,Switzerland,292
175,14366,EUR,16870,Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,Germany,119
176,15500,CHF,17500,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,5.25,2.16,GRP,Switzerland,151
179,14200,EUR,17500,Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,Switzerland,285
180,14000,EUR,17500,Sport Boat,Gobbi power boats,Used boat,1997,9.15,3,GRP,Italy,281
182,14000,EUR,17490,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1990,6.42,2.38,GRP,Italy,132
184,14000,EUR,17490,Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,4.99,2.07,GRP,Croatia,118
187,14900,EUR,18000,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,4.7,1.85,GRP,Germany,156
188,14900,EUR,18000,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10,3,GRP,Croatia,111
189,14900,EUR,18000,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Italy,87
190,14900,EUR,18000,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,Germany,70
192,14900,EUR,18000,Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,Italy,356
193,14900,EUR,18000,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,Germany,198
194,14900,EUR,18800,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,5.15,2.15,PVC,France,68
197,14900,EUR,18750,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Switzerland,80
199,14900,EUR,18700,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5,2.1,GRP,Germany,180
200,15500,EUR,18690,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,Germany,145
203,15500,EUR,18515,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,Austria,125
204,15500,EUR,19500,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,Austria,236
205,15500,EUR,19500,Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,Netherlands,253
206,15500,EUR,19500,Trawler,SkilsÃ¶ power boats,"Used boat,Diesel",1979,7,2.5,GRP,Germany,311
207,15499,EUR,19500,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.5,2.29,GRP,Germany,219
208,15490,EUR,19500,Deck Boat,Jeanneau power boats,new boat from stock,2017,5,2,PVC,Slovak,71
209,15446,EUR,19490,Center console boat,Jeanneau power boats,new boat on order,2020,5.48,2.36,GRP,Germany,56
210,15400,EUR,19300,Center console boat,Ranieri power boats,new boat from stock,2019,6,2.25,GRP,Italy,116
213,17684,CHF,19900,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,Aluminium,Switzerland,341
214,17500,CHF,19900,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,Switzerland,201
215,16220,EUR,19900,Center console boat,Jeanneau power boats,new boat from stock,2020,5.48,2.36,GRP,Germany,99
216,16190,EUR,19900,Sport Boat,AMT power boats,new boat from stock,2019,5.15,2.08,GRP,Germany,60
217,17500,CHF,19900,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,7.2,2.57,GRP,Switzerland,387
218,17400,CHF,19900,Pilothouse,Smartliner power boats,new boat on order,2020,6.4,2.25,GRP,Switzerland,399
219,17400,CHF,19900,Center console boat,Morningstar power boats,new boat from stock,2019,5,2,Aluminium,Switzerland,149
221,16000,EUR,19900,Sport Boat,Bombardier power boats,"Used boat,Unleaded",1998,7.35,2.6,GRP,Croatia,141
222,16900,EUR,19900,Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,6.45,2.25,PVC,Montenegro,53
223,16900,EUR,19900,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,6.3,2.34,GRP,Germany,154
225,16900,EUR,19900,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,5.6,2.16,GRP,Italy,107
226,16900,EUR,19900,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,8.04,3.06,GRP,Germany,405
227,16900,EUR,19900,Motor Yacht,Jeanneau power boats,Used boat,2005,7.15,2.59,PVC,France,62
228,16900,EUR,20499,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,7.15,2.59,PVC,France,98
229,16900,EUR,20490,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,5.47,2.34,PVC,Spain,152
230,16900,EUR,21396,Trawler,GioMare power boats,Used boat,1995,5.7,2.8,GRP,Rovinij,172
231,18260,CHF,21090,Bowrider,Bella power boats,Display Model,2019,5.01,2.01,GRP,Switzerland,339
232,16870,EUR,21000,Sport Boat,Yamarin power boats,new boat from stock,2020,5.53,2.24,GRP,Germany,127
233,18210,CHF,21000,Center console boat,Saver power boats,"new boat from stock,Unleaded",2020,5.83,2.03,GRP,Switzerland,247
234,18200,CHF,21000,Fishing Boat,Lund Boats power boats,new boat from stock,2020,4.95,2.03,Aluminium,Switzerland,241
235,18200,CHF,21000,Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,6.5,2.5,Thermoplastic,Switzerland,331
237,17500,EUR,21000,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,6.22,2.47,PVC,France,144
240,17500,EUR,22000,Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,5.4,2.4,GRP,Portugal,192
242,17500,EUR,22000,Trawler,Pedro power boats,Used boat,1984,8.6,2.8,Steel,Netherlands,149
243,17490,EUR,22000,Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,7,2,GRP,Germany,164
244,17490,EUR,22000,Cabin Boat,Winga power boats,"Used boat,Diesel",1977,7.5,2.75,GRP,Germany,162
245,18900,CHF,22000,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2019,5,1.94,Aluminium,Switzerland,215
247,18900,CHF,22000,Sport Boat,Campion power boats,"Used boat,Unleaded",2001,5.71,2.34,Plastic,Switzerland,335
248,18900,CHF,22880,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,6.5,2.45,Plastic,Switzerland,686
249,19500,CHF,22850,Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,5.9,2.32,GRP,Switzerland,1028
254,18000,EUR,22800,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,7.96,2.47,GRP,Portugal,375
255,18000,EUR,22772,Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,6.2,2,GRP,Italy,333
256,18000,EUR,22765,Cabin Boat,Saura power boats,"Used boat,Diesel",1993,7.35,2.72,GRP,Spain,129
257,18000,EUR,22700,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,6.21,2.48,PVC,Spain,211
259,18000,EUR,22680,Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,8,2.94,GRP,Italy,334
260,18000,EUR,22520,Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,5.59,2.29,PVC,Spain,119
263,18800,EUR,23640,Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,5.33,2.25,PVC,France,110
264,18750,EUR,23530,Center console boat,Clear power boats,new boat from stock,2020,6.15,2.27,GRP,Germany,149
266,18700,EUR,23500,Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,6.5,2.4,GRP,Germany,254
267,18690,EUR,23290,Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,6.1,2.4,GRP,Switzerland,324
268,20000,CHF,24000,Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,7.62,2.59,GRP,Switzerland,220
269,19990,CHF,24000,Sport Boat,Sea-Doo power boats,"Used boat,Unleaded",2008,4.67,2.16,GRP,Switzerland,540
270,19990,CHF,24000,Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,7.22,2.57,GRP,Switzerland,339
273,20100,CHF,24000,Fishing Boat,Smartliner power boats,new boat from stock,2020,6.4,2.25,GRP,Switzerland,185
274,19900,CHF,24000,Runabout,Safter Marine power boats,new boat from stock,2020,5,1.9,GRP,Switzerland,401
275,19900,CHF,24000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,Switzerland,2026
277,18515,EUR,24900,Sport Boat,Yamarin power boats,new boat from stock,2020,4.86,1.96,Aluminium,Germany,145
278,19500,EUR,24900,Trawler,Beachcraft power boats,Used boat,1981,8.2,3.1,Steel,Netherlands,118
279,19500,EUR,24900,Cabin Boat,Waterland power boats,Used boat,1975,8.2,3.1,GRP,Netherlands,101
280,19500,EUR,24900,Cabin Boat,KOK power boats,Used boat,2005,6.1,2.25,Steel,Netherlands,78
281,19500,EUR,24900,Motor Yacht,Mazury power boats,"Used boat,Unleaded",2010,5,2.27,GRP,Germany,273
282,19500,EUR,24900,Cabin Boat,Sea Ray power boats,Used boat,1996,8.95,2.59,GRP,Steinwiesen,778
283,19490,EUR,24900,Cabin Boat,Bayliner power boats,Unleaded,2003,5.89,2.37,GRP,Germany,261
284,21000,CHF,24900,Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,5.95,2.27,GRP,Switzerland,163
285,20950,CHF,24900,Motor Yacht,Pacific Craft power boats,"new boat from stock,Unleaded",2018,4.99,1.97,GRP,Switzerland,183
286,19300,EUR,24900,Center console boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,117
287,20800,CHF,24900,Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020,9,1.7,Wood,Switzerland,235
288,19900,EUR,24900,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.12,2.44,GRP,Italy,217
289,19900,EUR,25000,Sport Boat,Galia power boats,"new boat from stock,Unleaded",2018,4.78,1.95,GRP,Germany,121
291,19900,EUR,25000,Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,9,3.2,GRP,Germany,314
292,19900,EUR,25000,Motor Yacht,Crownline power boats,Used boat,1997,7.5,2.59,GRP,Netherlands,122
293,19900,EUR,25000,Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,7.83,2.58,PVC,France,165
294,19900,EUR,25000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,6.16,2.29,GRP,Germany,375
296,19900,EUR,25000,Sport Boat,Buster power boats,"Used boat,Unleaded",1994,4.95,1.97,Aluminium,Germany,80
298,19900,EUR,25000,Sport Boat,Kelt power boats,"Used boat,Unleaded",2002,6.97,2.44,PVC,France,89
299,19900,EUR,25000,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2006,6.23,2.3,PVC,France,97
300,19900,EUR,25000,Cabin Boat,Fjord power boats,"Used boat,Diesel",1984,8.15,2.9,GRP,Germany,280
301,19900,EUR,25000,Sport Boat,Boesch power boats,"Used boat,Unleaded",1970,5.1,2.02,Wood,Germany,206
302,19900,EUR,25000,Cabin Boat,Smartliner power boats,"Used boat,Unleaded",2017,5.7,2.25,GRP,Germany,159
303,19900,EUR,25900,Motor Yacht,Doerak Sneek power boats,"Used boat,Diesel",1969,8.5,3.1,Steel,Belgium,157
304,20499,EUR,25900,Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.75,2.54,GRP,Germany,153
305,20490,EUR,25900,Sport Boat,Sting power boats,new boat from stock,2018,6.08,2.37,GRP,Germany,115
306,22110,CHF,25900,Center console boat,Sting power boats,new boat from stock,2020,5.3,2.15,GRP,Switzerland,118
307,22000,CHF,25900,Sport Boat,Scand power boats,"Used boat,Unleaded",1989,8.5,3,GRP,Switzerland,537
308,22000,CHF,25900,Pontoon Boat,Airon Marine power boats,"Used boat,Unleaded",1992,7.63,2.5,GRP,Switzerland,176
309,22000,CHF,25900,Bowrider,Cranchi power boats,Used boat,1993,7.6,2.47,GRP,Switzerland,415
310,22000,CHF,25900,Cabin Boat,Saga power boats,"Used boat,Diesel",1978,8.12,2.75,GRP,Switzerland,593
311,22000,CHF,26800,Hardtop,Finnmaster power boats,"Used boat,Unleaded",2001,6.01,2.3,GRP,Switzerland,527
312,22000,CHF,26700,Sport Boat,Draco power boats,"Used boat,Unleaded",1993,6.77,2.28,GRP,Switzerland,265
313,22000,CHF,26700,Pilothouse,Sessa power boats,"Used boat,Unleaded",2006,6.5,2.43,GRP,Switzerland,466
315,21396,EUR,26620,Pilothouse,Jeanneau power boats,"new boat on order,Unleaded",2020,5.64,2.45,GRP,Germany,73
317,23000,CHF,26537,Pilothouse,Atlantic Marine power boats,new boat from stock,2019,6.6,2.47,GRP,Switzerland,394
318,23000,CHF,27120,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7,2.43,GRP,Switzerland,863
319,23000,CHF,27000,Sport Boat,Galia power boats,"Used boat,Unleaded",2020,4.75,1.9,GRP,Switzerland,235
320,22900,CHF,27000,Sport Boat,Capelli power boats,"Used boat,Unleaded",2016,5.01,2.28,Hypalon,Switzerland,135
321,22900,CHF,27900,Sport Boat,Rio Iberica power boats,"Used boat,Unleaded",2004,5.5,2.05,GRP,Switzerland,457
322,21090,EUR,27900,Sport Boat,Yamarin power boats,new boat from stock,2019,5.67,2.25,GRP,Germany,135
323,21000,EUR,27900,Sport Boat,Intermare power boats,"Used boat,Diesel",1991,6.45,2.4,GRP,Italy,49
324,21000,EUR,27900,Bowrider,Cobalt power boats,"Used boat,Unleaded",1996,6.35,2.54,GRP,Italy,97
325,21000,EUR,27900,Cabin Boat,Monterey power boats,"Used boat,Unleaded",1997,8,2.59,GRP,Italy,241
326,21000,EUR,27900,Sport Boat,Azimut power boats,"Used boat,Diesel",1989,9.23,3.18,PVC,France,190
