,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
2664,390000,EUR,2900000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2003,17.51,4.75,GRP,Italy,70
2665,421450,CHF,2899000,Motor Yacht,Salpa power boats,new boat from stock,2019,11.95,3.85,GRP,Switzerland,198
2667,389500,EUR,2750000,Sport Boat,Frauscher power boats,"new boat from stock,Unleaded",2020,10.17,2.98,GRP,Switzerland,425
2668,399000,EUR,2700000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,17.02,4.63,GRP,Croatia,153
2669,399000,EUR,2650000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1997,17.4,4.7,GRP,Croatia,188
2670,399000,EUR,2490000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,16.36,4.47,GRP,Croatia,81
2672,399000,EUR,2450000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,17.6,4.42,GRP,Croatia,35
2674,399000,EUR,2450000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2012,15.6,4.5,PVC,France,61
2675,399000,EUR,2400000,Trawler,Linssen power boats,"Used boat,Diesel",2006,14.65,4.47,Steel,Slovenia,95
2676,399000,EUR,2350000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2005,17,4,GRP,Croatia,70
2677,399000,EUR,2300000,Trawler,Linssen power boats,"Used boat,Diesel",2006,14,4,Steel,Slovenia,84
2678,399000,EUR,2300000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,14.3,4.1,GRP,Netherlands,70
2679,399000,EUR,2250000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,14.3,4.1,GRP,Netherlands,221
2680,399000,EUR,2200000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2017,13.86,4.25,GRP,Croatia,122
2681,399000,EUR,2200000,Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2020,13.43,4.2,PVC,Sweden,72
